n,Omega_2,Omega_3,Omega_5,Omega_7,Omega_9,Omega_11,Omega_total
662,1,0,0,0,0,0,2
663,0,1,0,0,0,0,3
664,3,0,0,0,0,0,4
665,0,0,1,1,0,0,3
666,1,2,0,0,2,0,4
667,0,0,0,0,0,0,2
668,2,0,0,0,0,0,3
669,0,1,0,0,0,0,2
670,1,0,1,0,0,0,3
671,0,0,0,0,0,1,2
672,5,1,0,1,0,0,7
673,0,0,0,0,0,0,1
674,1,0,0,0,0,0,2
675,0,3,2,0,2,0,5
676,2,0,0,0,0,0,4
677,0,0,0,0,0,0,1
678,1,1,0,0,0,0,3
679,0,0,0,1,0,0,2
680,3,0,1,0,0,0,5
681,0,1,0,0,0,0,2
682,1,0,0,0,0,1,3
683,0,0,0,0,0,0,1
684,2,2,0,0,2,0,5
685,0,0,1,0,0,0,2
686,1,0,0,3,0,0,4
687,0,1,0,0,0,0,2
688,4,0,0,0,0,0,5
689,0,0,0,0,0,0,2
690,1,1,1,0,0,0,4
691,0,0,0,0,0,0,1
692,2,0,0,0,0,0,3
693,0,2,0,1,2,1,4
694,1,0,0,0,0,0,2
695,0,0,1,0,0,0,2
696,3,1,0,0,0,0,5
697,0,0,0,0,0,0,2
698,1,0,0,0,0,0,2
699,0,1,0,0,0,0,2
700,2,0,2,1,0,0,5
701,0,0,0,0,0,0,1
702,1,3,0,0,2,0,5
703,0,0,0,0,0,0,2
704,6,0,0,0,0,1,7
705,0,1,1,0,0,0,3
706,1,0,0,0,0,0,2
707,0,0,0,1,0,0,2
708,2,1,0,0,0,0,4
709,0,0,0,0,0,0,1
710,1,0,1,0,0,0,3
711,0,2,0,0,2,0,3
712,3,0,0,0,0,0,4
713,0,0,0,0,0,0,2
714,1,1,0,1,0,0,4
715,0,0,1,0,0,1,3
716,2,0,0,0,0,0,3
717,0,1,0,0,0,0,2
718,1,0,0,0,0,0,2
719,0,0,0,0,0,0,1
720,4,2,1,0,2,0,7
721,0,0,0,1,0,0,2
722,1,0,0,0,0,0,3
723,0,1,0,0,0,0,2
724,2,0,0,0,0,0,3
725,0,0,2,0,0,0,3
726,1,1,0,0,0,2,4
727,0,0,0,0,0,0,1
728,3,0,0,1,0,0,5
729,0,6,0,0,6,0,6
730,1,0,1,0,0,0,3
731,0,0,0,0,0,0,2
732,2,1,0,0,0,0,4
733,0,0,0,0,0,0,1
734,1,0,0,0,0,0,2
735,0,1,1,2,0,0,4
736,5,0,0,0,0,0,6
737,0,0,0,0,0,1,2
738,1,2,0,0,2,0,4
739,0,0,0,0,0,0,1
740,2,0,1,0,0,0,4
741,0,1,0,0,0,0,3
742,1,0,0,1,0,0,3
743,0,0,0,0,0,0,1
744,3,1,0,0,0,0,5
745,0,0,1,0,0,0,2
746,1,0,0,0,0,0,2
747,0,2,0,0,2,0,3
748,2,0,0,0,0,1,4
749,0,0,0,1,0,0,2
750,1,1,3,0,0,0,5
751,0,0,0,0,0,0,1
752,4,0,0,0,0,0,5
753,0,1,0,0,0,0,2
754,1,0,0,0,0,0,3
755,0,0,1,0,0,0,2
756,2,3,0,1,2,0,6
757,0,0,0,0,0,0,1
758,1,0,0,0,0,0,2
759,0,1,0,0,0,1,3
760,3,0,1,0,0,0,5
761,0,0,0,0,0,0,1
762,1,1,0,0,0,0,3
763,0,0,0,1,0,0,2
764,2,0,0,0,0,0,3
765,0,2,1,0,2,0,4
766,1,0,0,0,0,0,2
767,0,0,0,0,0,0,2
768,8,1,0,0,0,0,9
769,0,0,0,0,0,0,1
770,1,0,1,1,0,1,4
771,0,1,0,0,0,0,2
772,2,0,0,0,0,0,3
773,0,0,0,0,0,0,1
774,1,2,0,0,2,0,4
775,0,0,2,0,0,0,3
776,3,0,0,0,0,0,4
777,0,1,0,1,0,0,3
778,1,0,0,0,0,0,2
779,0,0,0,0,0,0,2
780,2,1,1,0,0,0,5
781,0,0,0,0,0,1,2
782,1,0,0,0,0,0,3
783,0,3,0,0,2,0,4
784,4,0,0,2,0,0,6
785,0,0,1,0,0,0,2
786,1,1,0,0,0,0,3
787,0,0,0,0,0,0,1
788,2,0,0,0,0,0,3
789,0,1,0,0,0,0,2
790,1,0,1,0,0,0,3
791,0,0,0,1,0,0,2
792,3,2,0,0,2,1,6
793,0,0,0,0,0,0,2
794,1,0,0,0,0,0,2
795,0,1,1,0,0,0,3
796,2,0,0,0,0,0,3
797,0,0,0,0,0,0,1
798,1,1,0,1,0,0,4
799,0,0,0,0,0,0,2
800,5,0,2,0,0,0,7
801,0,2,0,0,2,0,3
802,1,0,0,0,0,0,2
803,0,0,0,0,0,1,2
804,2,1,0,0,0,0,4
805,0,0,1,1,0,0,3
806,1,0,0,0,0,0,3
807,0,1,0,0,0,0,2
808,3,0,0,0,0,0,4
809,0,0,0,0,0,0,1
810,1,4,1,0,4,0,6
811,0,0,0,0,0,0,1
812,2,0,0,1,0,0,4
813,0,1,0,0,0,0,2
814,1,0,0,0,0,1,3
815,0,0,1,0,0,0,2
816,4,1,0,0,0,0,6
817,0,0,0,0,0,0,2
818,1,0,0,0,0,0,2
819,0,2,0,1,2,0,4
820,2,0,1,0,0,0,4
821,0,0,0,0,0,0,1
822,1,1,0,0,0,0,3
823,0,0,0,0,0,0,1
824,3,0,0,0,0,0,4
825,0,1,2,0,0,1,4
826,1,0,0,1,0,0,3
827,0,0,0,0,0,0,1
828,2,2,0,0,2,0,5
829,0,0,0,0,0,0,1
830,1,0,1,0,0,0,3
831,0,1,0,0,0,0,2
832,6,0,0,0,0,0,7
833,0,0,0,2,0,0,3
834,1,1,0,0,0,0,3
835,0,0,1,0,0,0,2
836,2,0,0,0,0,1,4
837,0,3,0,0,2,0,4
838,1,0,0,0,0,0,2
839,0,0,0,0,0,0,1
840,3,1,1,1,0,0,6
841,0,0,0,0,0,0,2
