sample,tray_num,block_num,desert,fire_name,fire_year,TSF,TSF2,burn,plot_num,fullplot_name,line,location,overstory,unique_ID,date_coll
331,42,2,CH,KNT,CON,control,30C,control,11,CH-KNT-CON-2,3,10,S,CH-KNT-CON-2-3-10-S,2018-10-24
336,42,2,CH,KNT,CON,control,30C,control,11,CH-KNT-CON-2,3,20,I,CH-KNT-CON-2-3-20-I,2018-10-24
126,16,3,CH,KNT,CON,control,30C,control,11,CH-KNT-CON-2,3,20,S,CH-KNT-CON-2-3-20-S,2018-10-24
504,63,5,CH,KNT,CON,control,30C,control,12,CH-KNT-CON-3,1,10,I,CH-KNT-CON-3-1-10-I,2018-10-24
446,56,6,CH,KNT,CON,control,30C,control,12,CH-KNT-CON-3,1,10,S,CH-KNT-CON-3-1-10-S,2018-10-24
265,34,4,CH,KNT,CON,control,30C,control,12,CH-KNT-CON-3,1,20,I,CH-KNT-CON-3-1-20-I,2018-10-24
157,20,2,CH,KNT,CON,control,30C,control,12,CH-KNT-CON-3,1,20,S,CH-KNT-CON-3-1-20-S,2018-10-24
291,37,3,CH,KNT,CON,control,30C,control,12,CH-KNT-CON-3,2,10,I,CH-KNT-CON-3-2-10-I,2018-10-24
536,67,6,CH,KNT,CON,control,30C,control,12,CH-KNT-CON-3,2,10,S,CH-KNT-CON-3-2-10-S,2018-10-24
436,55,6,CH,KNT,CON,control,30C,control,12,CH-KNT-CON-3,2,20,I,CH-KNT-CON-3-2-20-I,2018-10-24
4,1,1,CH,KNT,CON,control,30C,control,12,CH-KNT-CON-3,2,20,S,CH-KNT-CON-3-2-20-S,2018-10-24
292,37,3,CH,KNT,CON,control,30C,control,12,CH-KNT-CON-3,3,10,I,CH-KNT-CON-3-3-10-I,2018-10-24
448,56,6,CH,KNT,CON,control,30C,control,12,CH-KNT-CON-3,3,10,S,CH-KNT-CON-3-3-10-S,2018-10-24
239,30,3,CH,KNT,CON,control,30C,control,12,CH-KNT-CON-3,3,20,I,CH-KNT-CON-3-3-20-I,2018-10-24
255,32,4,CH,KNT,CON,control,30C,control,12,CH-KNT-CON-3,3,20,S,CH-KNT-CON-3-3-20-S,2018-10-24
