sample,fctngrp,count,tray_num,block_num,desert,fire_name_fg,fire_year_fg,TSF_fg,TSF2_fg,burn_fg,plot_num_fg,fullplot_name_fg,line_fg,location_fg,overstory_fg,unique_ID_fg,date_coll_fg,data_type,fire_name_attr,fire_year_attr,TSF_attr,TSF2_attr,burn_attr,plot_num_attr,fullplot_name_attr,line_attr,location_attr,overstory_attr,unique_ID_attr,date_coll_attr
31,PF,1,4,2,SO,GAT,80,30,30F,burned,1,SO-GAT-80-1,3,20,S,SO-GAT-80-1-3-20-S,2018-09-23,seedbank,GAT,80,30,30F,burned,34,SO-GAT-80-1,3,20,S,SO-GAT-80-1-3-20-S,2018-09-23
31,SH,1,4,2,SO,GAT,80,30,30F,burned,1,SO-GAT-80-1,3,20,S,SO-GAT-80-1-3-20-S,2018-09-23,seedbank,GAT,80,30,30F,burned,34,SO-GAT-80-1,3,20,S,SO-GAT-80-1-3-20-S,2018-09-23
32,AF,4,4,2,SO,GAT,80,30,30F,burned,3,SO-GAT-80-3,1,10,S,SO-GAT-80-3-1-10-S,2018-09-23,seedbank,GAT,80,30,30F,burned,36,SO-GAT-80-3,1,10,S,SO-GAT-80-3-1-10-S,2018-09-23
32,AG,1,4,2,SO,GAT,80,30,30F,burned,3,SO-GAT-80-3,1,10,S,SO-GAT-80-3-1-10-S,2018-09-23,seedbank,GAT,80,30,30F,burned,36,SO-GAT-80-3,1,10,S,SO-GAT-80-3-1-10-S,2018-09-23
32,SH,3,4,2,SO,GAT,80,30,30F,burned,3,SO-GAT-80-3,1,10,S,SO-GAT-80-3-1-10-S,2018-09-23,seedbank,GAT,80,30,30F,burned,36,SO-GAT-80-3,1,10,S,SO-GAT-80-3-1-10-S,2018-09-23
33,AG,1,5,2,GB,RAD,84,30,30F,burned,2,GB-RAD-84-2,3,20,S,GB-RAD-84-2-3-20-S,2018-06-23,seedbank,RAD,84,30,30F,burned,20,GB-RAD-84-2,3,20,S,GB-RAD-84-2-3-20-S,2018-06-23
33,PG,1,5,2,GB,RAD,84,30,30F,burned,2,GB-RAD-84-2,3,20,S,GB-RAD-84-2-3-20-S,2018-06-23,seedbank,RAD,84,30,30F,burned,20,GB-RAD-84-2,3,20,S,GB-RAD-84-2-3-20-S,2018-06-23
34,AF,1,5,2,CP,,CON,control,con,control,2,MV-CON-2,2,10,I,MV-CON-2-2-2-10-I,2018-06-07,seedbank,,CON,control,con,control,32,MV-CON-2,2,10,I,MV-CON-2-2-2-10-I,2018-06-07
34,PF,1,5,2,CP,,CON,control,con,control,2,MV-CON-2,2,10,I,MV-CON-2-2-2-10-I,2018-06-07,seedbank,,CON,control,con,control,32,MV-CON-2,2,10,I,MV-CON-2-2-2-10-I,2018-06-07
35,AF,12,5,2,SO,GAT,CON,control,30C,control,2,SO-GAT-CON-2,2,20,I,SO-GAT-CON-2-2-20-I,2018-09-24,seedbank,GAT,CON,control,30C,control,38,SO-GAT-CON-2,2,20,I,SO-GAT-CON-2-2-20-I,2018-09-24
