study,burn,sites,Project_site,Lat.N.,Lon.W.,BS.dens.pre,BS.ba.pre,TA.den.pre,TA.ba.pre,PB.dens.pre,PB.ba.pre,bs.biomass.pre,ta.biomass.pre,pb.biomass.pre,decid.dens.pre,decid.ba.pre,decid.bio.pre,rel.decid.dens.pre,rel.decid.ba.pre,rel.decid.bio.pre,DI.pre,class.pre,BS.dens.post,TA.dens.post,PB.dens.post,decid.dens.post,bs.bio.post,ta.bio.post,pb.bio.post,decid.bio.post,rel.decid.dens.post,rel.decid.bio.post,DI.post,class.post
JFSP,BF,68,BF68,65.28237,-146.73661,0.3,4.926933579,0.016666667,1.181369737,0,0,1335.252578,362.1870133,0,0.016666667,1.181369737,362.1870133,0.05263158,0.193403909,0.21337255,13.30020648,Spruce,0.6,0.5,0,0.5,0.57,NA,NA,23.8,0.454545455,0.976610587,71.55780207,Decid
JFSP,BF,69,BF69,65.28306,-146.73943,0.55,9.507244768,0,0,0,0,2566.034376,0,0,0,0,0,0,0,0,0,Spruce,0,0.1,0,0.1,0,NA,NA,0.87,1,1,100,Decid
JFSP,BF,70,BF70,65.11976,-147.43454,0.766666667,9.749801901,0,0,0,0,2696.918415,0,0,0,0,0,0,0,0,0,Spruce,4.1,3.3,1.1,4.4,6.22,NA,NA,386.52,0.517647059,0.98416255,75.09048046,Decid
JFSP,BF,71,BF71,65.11955,-147.4299,0.966666667,6.350729549,0,0,0,0,1852.008699,0,0,0,0,0,0,0,0,0,Spruce,2.1,2.9,0.8,3.7,17.26,NA,NA,180.79,0.637931034,0.91285029,77.53906624,Decid
JFSP,BF,72,BF72,65.11641,-147.42867,0.65,9.505804871,0,0,0.016666667,0.81694499,2600.195522,0,380.7687314,0.016666667,0.81694499,380.7687314,0.025,0.079140249,0.127733411,7.636670563,Spruce,6.5,3.3,4.3,7.6,9.9,NA,NA,69.5,0.539007092,0.875314861,70.71609768,Decid
JFSP,BF,73,BF73,65.11811,-147.44866,0.966666667,6.889643589,0,0,0.016666667,0.088488193,1996.11845,0,167.2026668,0.016666667,0.088488193,167.2026668,0.016949153,0.012680786,0.077289805,4.711947883,Spruce,4.9,2.9,2.2,5.1,4.79,NA,NA,197.54,0.51,0.976325804,74.31629022,Decid
JFSP,BF,74,BF74,65.1168,-147.46776,0.366666667,3.070121421,0.166666667,9.844704179,0.033333333,0.349371283,878.1080854,2947.514106,402.1444568,0.2,10.19407546,3349.658563,0.352941176,0.768540723,0.792299775,57.26204755,Mixed,1.5,2.4,1.3,3.7,11.42,NA,NA,258.99,0.711538462,0.957767834,83.46531478,Decid
JFSP,BF,75,BF75,65.12273,-147.46527,0.383333333,13.43043949,0,0,0,0,3425.723345,0,0,0,0,0,0,0,0,0,Spruce,0.2,0.2,0.2,0.4,9.17,NA,NA,87.53,0.666666667,0.905170631,78.59186487,Decid
JFSP,BF,76,BF76,65.1234,-147.46541,0.091666667,2.187792034,0,0,0.008333333,0.121016767,575.4473877,0,333.5758307,0.008333333,0.121016767,333.5758307,0.08333333,0.05241524,0.366960738,22.51470338,Spruce,2.2,5.2,2.6,7.8,14,NA,NA,243.9,0.78,0.945715394,86.28576968,Decid
JFSP,BF,77,BF77,65.12968,-147.47365,1.866666667,6.558860063,0,0,0,0,2010.900544,0,0,0,0,0,0,0,0,0,Spruce,5.4,5.1,5,10.1,6.77,NA,NA,56.39,0.651612903,0.892811906,77.22124047,Decid
JFSP,BF,78,BF78,65.15298,-147.48117,0.516666667,3.765067896,0,0,0,0,1088.907469,0,0,0,0,0,0,0,0,0,Spruce,0.6,3.4,0.4,3.8,7.24,NA,NA,18.26,0.863636364,0.716078431,78.98573975,Decid
JFSP,BF,79,BF79,65.15089,-147.47616,0.95,8.412596078,0,0,0,0,2395.392451,0,0,0,0,0,0,0,0,0,Spruce,11.2,16.8,5.6,22.4,25.81,NA,NA,42.83,0.666666667,0.623980186,64.53234266,Mixed
JFSP,BF,80,BF80,65.15125,-147.47287,0.7,5.840613442,0,0,0,0,1670.985894,0,0,0,0,0,0,0,0,0,Spruce,8.2,8.6,6.4,15,18.11,NA,NA,179.58,0.646551724,0.908391927,77.74718254,Decid
JFSP,BF,81,BF81,65.15033,-147.47324,0.766666667,3.165743647,0,0,0.008333333,0,958.1408684,0,44.74968215,0.008333333,0,44.74968215,0.010752688,0,0.044620704,2.768669574,Spruce,11.5,7.4,6.1,13.5,5.8,NA,NA,335.76,0.54,0.983019089,76.15095444,Decid
JFSP,BF,82,BF82,65.14843,-147.47171,0.483333333,10.94164361,0,0,0,0,2890.139818,0,0,0,0,0,0,0,0,0,Spruce,2.1,2,12.9,14.9,3.09,NA,NA,114.9,0.876470588,0.97381134,92.51409641,Decid
JFSP,BF,83,BF83,65.14805,-147.47091,0.15,14.26073625,0.05,0,0.033333333,4.188790205,3358.312041,0,6494.531188,0.083333333,4.188790205,6494.531188,0.357142856,0.227040527,0.659153002,50.81479289,Mixed,1.8,3.8,8.7,12.5,1.9,NA,NA,322.28,0.874125874,0.994139059,93.41324663,Decid
JFSP,BF,84,BF84,65.15299,-147.47819,0.6,3.708781027,0,0,0,0,1086.845849,0,0,0,0,0,0,0,0,0,Spruce,12.9,0.5,0.6,1.1,4.67,NA,NA,4.71,0.078571429,0.502132196,29.03518124,Spruce
JFSP,BF,85,BF85,65.14273,-147.46578,0.233333333,21.87477875,0.05,7.572547292,0.033333333,1.9671606,5157.146542,2562.445073,6391.191798,0.083333333,9.539707892,8953.636871,0.263157894,0.303672252,0.634524435,44.88411646,Mixed,1.1,2.4,1.7,4.1,4.38,NA,NA,253.85,0.788461538,0.983038377,88.57499576,Decid
JFSP,BF,86,BF86,65.1424,-147.4649,1.208333333,10.37962578,0,0,0.008333333,0,2962.683472,0,103.5246975,0.008333333,0,103.5246975,0.006849315,0,0.033763101,2.030620812,Spruce,16.3,9.1,16.1,25.2,9.58,NA,NA,29.43,0.607228916,0.754421943,68.08254294,Decid
JFSP,DC,30,DC30,66.31539,-150.40571,0.075,0.066666667,0,0,0,0,22.81519046,0,0,0,0,0,0,0,0,0,Spruce,0.6,2.7,0,2.7,26.01,NA,NA,364.49,0.818181818,0.933393086,87.5787452,Decid
JFSP,DC,31,DC31,66.31533,-150.39721,0.166666667,6.852402626,0,0,0,0,1725.62529,0,0,0,0,0,0,0,0,0,Spruce,0.4,0.6,0.1,0.7,0.26,NA,NA,2.01,0.636363636,0.885462555,76.09130957,Decid
JFSP,DC,32,DC32,66.28177,-150.35849,0.866666667,20.33186406,0,0,0,0,5355.183328,0,0,0,0,0,0,0,0,0,Spruce,6,0,0,0,0.23,NA,NA,0,0,0,0,Spruce
JFSP,DC,33,DC33,66.26538,-150.33509,1.966666667,22.1507153,0,0,0,0,6186.97483,0,0,0,0,0,0,0,0,0,Spruce,2.6,0,0,0,6.12,NA,NA,0,0,0,0,Spruce
JFSP,DC,34,DC34,66.20925,-150.27001,0.041666667,0.01282817,0,0,0,0,4.778788225,0,0,0,0,0,0,0,0,0,Spruce,0.6,0.2,0.3,0.5,2.15,NA,NA,12.77,0.454545455,0.855898123,65.52217889,Mixed
JFSP,DC,35,DC35,66.21316,-150.26391,0.825,3.851527143,0,0,0,0,1154.308239,0,0,0,0,0,0,0,0,0,Spruce,7.8,0.9,0,0.9,14.53,NA,NA,5.77,0.103448276,0.284236453,19.38423645,Spruce
JFSP,DC,36,DC36,66.21492,-150.25723,0.5,11.40476673,0,0,0.016666667,0.052359878,3010.649851,0,633.4218879,0.016666667,0.052359878,633.4218879,0.032258065,0.004570071,0.173822563,10.30403139,Spruce,17.2,1.5,1.6,3.1,7.84,NA,NA,29.07,0.15270936,0.787591439,47.01503991,Mixed
JFSP,DC,37,DC37,66.20771,-150.2349,0.775,18.94413095,0,0,0.058333333,1.43682049,4973.292495,0,2399.804625,0.058333333,1.43682049,2399.804625,0.07,0.070498205,0.325481217,19.77406084,Spruce,8.8,1.7,7.8,9.5,6.62,NA,NA,57.54,0.519125683,0.896820449,70.7973066,Decid
JFSP,DC,38,DC38,66.19166,-150.2168,1.4,14.48313483,0,0,0,0,4072.930174,0,0,0,0,0,0,0,0,0,Spruce,24,2.3,0.1,2.4,5.96,NA,NA,4.13,0.090909091,0.409316155,25.01126228,Spruce
JFSP,DC,39,DC39,66.16861,-150.20422,2.033333333,7.602785121,0.008333333,0.058904862,0,0,2319.39512,13.38263298,0,0.008333333,0.058904862,13.38263298,0.004081632,0.007688234,0.00573678,0.490920629,Spruce,22.2,5.6,0.6,6.2,11.78,NA,NA,61.06,0.218309859,0.838275673,52.82927659,Mixed
JFSP,DC,40,DC40,66.16364,-150.20207,1.308333333,11.66669702,0.05,0.324303992,0.033333333,1.438653086,3320.111832,72.85967074,432.2077608,0.083333333,1.762957078,505.0674315,0.059880239,0.131273454,0.132037585,9.595891208,Spruce,6.5,19.4,4.7,24.1,0.4,NA,NA,20.02,0.787581699,0.980411361,88.39965304,Decid
JFSP,DC,41,DC41,66.15536,-150.18442,2.083333333,5.77738889,0,0,0,0,1805.165101,0,0,0,0,0,0,0,0,0,Spruce,13.4,5.7,0.1,5.8,16.48,NA,NA,65.89,0.302083333,0.799927158,55.10052456,Mixed
JFSP,DC,42,DC42,66.15127,-150.18096,1.833333333,27.31649719,0,0,0,0,7460.938785,0,0,0,0,0,0,0,0,0,Spruce,8.6,26,0.2,26.2,0.71,NA,NA,20.41,0.752873563,0.966382576,85.96280695,Decid
JFSP,DC,43,DC43,66.14552,-150.17628,1.116666667,0.837888941,0.016666667,0,0,0,290.6622157,0,0,0.016666667,0,0,0.014705883,0,0,0.735294132,Spruce,5.3,0.1,0.1,0.2,2.29,NA,NA,0.83,0.036363636,0.266025641,15.11946387,Spruce
JFSP,DC,44,DC44,66.14079,-150.17242,2.133333333,5.547594477,0,0,0.016666667,0.471369798,1742.304996,0,52.70810977,0.016666667,0.471369798,52.70810977,0.007751938,0.078314105,0.029363635,1.85577866,Spruce,16.9,1.7,0.1,1.8,6.99,NA,NA,49.74,0.096256684,0.87678477,48.65207272,Mixed
JFSP,DC,45,DC45,66.10999,-150.15623,0.011111111,0.13962634,0.288888889,2.265786435,0,0,38.65927619,521.7706448,0,0.288888889,2.265786435,521.7706448,0.962962963,0.941953272,0.931018536,94.69907499,Decid,0,3.1,0,3.1,0,NA,NA,75.35,1,1,100,Decid
JFSP,DC,46,DC46,66.10976,-150.15785,1.291666667,9.697114774,0.016666667,0.085150251,0,0,2797.862215,18.54586,0,0.016666667,0.085150251,18.54586,0.012738854,0.008704554,0.006584934,0.966189365,Spruce,9.2,3.7,0,3.7,9.38,NA,NA,62.95,0.286821705,0.870316604,57.85691549,Mixed
JFSP,DC,47,DC47,66.11998,-150.16491,0.277777778,0.690539519,0,0,0,0,217.6568846,0,0,0,0,0,0,0,0,0,Spruce,6.4,0,0,0,8.76,NA,NA,0,0,0,0,Spruce
JFSP,DC,48,DC48,66.10866,-150.15698,0.566666667,10.02613115,0,0,0,0,2701.046607,0,0,0,0,0,0,0,0,0,Spruce,8.4,7.3,0,7.3,13.1,NA,NA,92.77,0.464968153,0.876263342,67.06157474,Decid
JFSP,DC,49,DC49,66.10515,-150.15355,1.75,6.534578169,0,0,0,0,1993.730032,0,0,0,0,0,0,0,0,0,Spruce,24.4,2.9,0.1,3,13.13,NA,NA,3.06,0.109489051,0.189005559,14.9247305,Spruce
JFSP,DC,50,DC50,66.08579,-150.16491,0.255555556,0.865246977,0,0,0,0,266.0669085,0,0,0,0,0,0,0,0,0,Spruce,12.4,0,5,5,1.02,NA,NA,0,0.287356322,0,14.36781609,Spruce
JFSP,DC,51,DC51,66.07446,-150.16788,0.358333333,4.58004939,0.075,1.688933301,0.025,0.927686131,1266.387686,446.0888533,489.529103,0.1,2.616619432,935.6179563,0.218181818,0.363587584,0.424893533,32.15376755,Spruce,1.4,3.2,0,3.2,8.68,NA,NA,215.78,0.695652174,0.961329413,82.84907934,Decid
JFSP,DC,52,DC52,66.07288,-150.16742,1.35,13.14507816,0,0,0.033333333,0.82519167,3714.599315,0,478.0038956,0.033333333,0.82519167,478.0038956,0.024096385,0.059067697,0.114011241,6.905381322,Spruce,7.1,17.4,0,17.4,14.25,NA,NA,34.46,0.710204082,0.707452269,70.88281751,Decid
JFSP,DC,53,DC53,66.07199,-150.16674,0.958333333,20.38455118,0.008333333,0.037699112,0,0,5411.299143,8.082113449,0,0.008333333,0.037699112,8.082113449,0.008620689,0.001845982,0.001491335,0.50560122,Spruce,3.4,9.1,0,9.1,0.92,NA,NA,29.13,0.728,0.969384359,84.86921797,Decid
