lmfdb_label,conductor,disc,rank,regulator,mwgens,abs_disc,log_disc,tau,log_regulator
4910.e1,4910,-314240000000000.0,1,0.8441954291054542,"[(358, 6071)]",314240000000000.0,14.497261466106856,3.507992212430933,-0.07355700361044637
4910.g1,4910,-4910000.0,1,0.3273891488606615,"[(4, 3)]",4910000.0,6.691081492122969,2.7348079643382355,-0.4849357190126646
4912.a1,4912,-1257472.0,2,0.3749599412490172,"[(-2, 8), (6, 16)]",1257472.0,6.099498323444961,2.6422389709869547,-0.4260151274198928
4912.c1,4912,-4912.0,1,1.2480072654169287,"[(2, 4)]",4912.0,3.691258358133111,2.139999863631069,0.09621711368352498
4914.a1,4914,1.2037168217763234e+16,1,0.6683189187641072,"[(-497, 28)]",1.2037168217763234e+16,16.080524329774924,3.6116413160402283,-0.17501624463421536
4914.f2,4914,-1682831403122688.0,1,9.07643566638351,"[(18667/6, 2233139/6)]",1682831403122688.0,15.226040607739804,3.557039605128276,0.9579153337321481
4914.g1,4914,-401218272.0,1,0.3627357700345559,"[(7, 28)]",401218272.0,8.603380703132219,2.9861876762772583,-0.44040961561870773
4914.i1,4914,15410304.0,1,1.3471422171346883,"[(23, -11)]",15410304.0,7.1878112061564625,2.8064191486819383,0.12941344642820743
4914.k1,4914,702131976.0,1,1.1866776882730423,"[(-13, 3)]",702131976.0,8.846418751818513,3.014045161559046,0.07433277694200296
4914.o1,4914,-9828.0,1,0.6279991689700051,"[(1, 1)]",9828.0,3.9924651478080433,2.218441316901241,-0.2020409308942535
4914.p1,4914,-511056.0,1,0.207721916174254,"[(-1, 13)]",511056.0,5.708468491442843,2.5759832177808843,-0.6825176796091612
4914.q1,4914,14329224.0,1,2.0097414067773016,"[(-1637/3, 2443/3)]",14329224.0,7.156222671789999,2.8020147272060068,0.30314018040998825
4914.t1,4914,707616.0,1,0.1450951879510139,"[(-1, 6)]",707616.0,5.849797644239311,2.6004395151651254,-0.8383469903020621
4914.v1,4914,-371723061799908.0,1,1.7349306156671869,"[(287, 3286)]",371723061799908.0,14.570219505679397,3.513012130933856,0.23928211094707422
4914.w1,4914,-550368.0,1,0.4333702420884167,"[(5, 4)]",550368.0,5.740653174814244,2.5816054426270845,-0.36314091326784353
4914.x1,4914,-7.363936581681018e+17,1,1.1994519344833956,"[(1925, 75932)]",7.363936581681018e+17,17.867110039698275,3.7169940400034536,0.07898284924970438
4914.y1,4914,2.7420399466882007e+18,1,0.0875639298410268,"[(-433, 2244)]",2.7420399466882007e+18,18.438073777404583,3.748450198994191,-1.0576747551739853
4914.z1,4914,-1404263952.0,1,0.3400987746091558,"[(43, -31)]",1404263952.0,9.147448747482494,3.047507460244604,-0.4683949327188831
4914.ba1,4914,-1.117366810559329e+19,1,0.0890254274070645,"[(803, 16062)]",1.117366810559329e+19,19.048195767252345,3.7810048319549,-1.0504859321326383
4918.a1,4918,157376.0,2,0.4756303031623843,"[(-3, 5), (5, 5)]",157376.0,5.196938502722604,2.482102147977887,-0.32273048348903266
4918.b1,4918,9836.0,1,1.690633188310638,"[(-17/2, 15/2)]",9836.0,3.9928185200666797,2.218529822776189,0.22804939025309962
4920.e1,4920,-19680000.0,1,1.2465581439252822,"[(29, 150)]",19680000.0,7.294025094095323,2.8210879780035363,0.09571254039327191
4921.a1,4921,-1902993098750401.0,1,1.6105875984408673,"[(880, 24770)]",1902993098750401.0,15.27943721331064,3.560540396718413,0.20698435071940072
4921.b1,4921,-877952898529.0,1,0.8822680259506519,"[(8, 537)]",877952898529.0,11.943471216979386,3.314217232651116,-0.054399459593832855
4921.d1,4921,-1653903811.0,1,0.2430289434233393,"[(33, 199)]",1653903811.0,9.218510247921081,3.0552458914446903,-0.6143420010357175
4921.e1,4921,-128000131.0,1,3.3042309051074374,"[(93/2, 965/2)]",128000131.0,8.1072104141209,2.9267862855387534,0.5190703889369203
4922.b1,4922,-9844.0,1,0.6164321115163123,"[(0, 2)]",9844.0,3.993171605030765,2.218618248872086,-0.21011474578988804
4923.b1,4923,-1.013602043301957e+18,1,25.60489397860068,"[(66371371729/14502, 19797499059399917/14502)]",1.013602043301957e+18,18.005867477362628,3.724730120991719,1.4083229819059904
4923.c1,4923,-3588867.0,1,5.9795368369103965,"[(1049/4, 32989/4)]",3588867.0,6.55495736409073,2.714254058108481,0.7766675457073555
4923.d1,4923,-3588867.0,1,4.035086950113298,"[(41/2, 183/2)]",3588867.0,6.55495736409073,2.714254058108481,0.6058528975688636
4925.e1,4925,1923828125.0,1,3.092591299126889,"[(-27/2, 671/2)]",1923828125.0,9.284166269521782,3.062342842754601,0.49032252969651835
4928.a1,4928,-34496.0,1,0.6094452175105952,"[(3, 7)]",34496.0,4.537768739170626,2.3464678693486176,-0.21506532656520042
4928.i1,4928,-34496.0,1,0.3904836236066001,"[(10, 7)]",34496.0,4.537768739170626,2.3464678693486176,-0.4083971750593866
4928.j1,4928,-24747740864.0,1,1.1725142977995493,"[(56, 49)]",24747740864.0,10.39353555983204,3.1752164773484766,0.06911814730270033
4928.k1,4928,-1068548096.0,1,0.7530665579367154,"[(20, 77)]",1068548096.0,9.028794074798926,3.034451257224822,-0.12316663799498502
4928.m1,4928,-1690304.0,1,0.3950189383698109,"[(4, 7)]",1690304.0,6.22796481919914,2.663082050391797,-0.40338208240956996
4928.y1,4928,-24747740864.0,1,0.846038467477277,"[(126, 847)]",24747740864.0,10.39353555983204,3.1752164773484766,-0.07260989006175807
4928.z1,4928,-8830976.0,1,1.0018029058015625,"[(6, 7)]",8830976.0,6.946008704482476,2.7721996527338204,0.0007822871011329746
4928.bb1,4928,-1690304.0,1,2.2925828026027903,"[(66, 539)]",1690304.0,6.22796481919914,2.663082050391797,0.36032503032133534
4929.a1,4929,-70725762603.0,1,0.5279955753953791,"[(109, 1093)]",70725762603.0,10.849577638949661,3.2181585971909925,-0.2773697167578412
4929.b1,4929,-14787.0,1,2.422343283469176,"[(13/2, 41/2)]",14787.0,4.169880072874387,2.2619197211425583,0.38423568942446235
4932.a1,4932,-43145136.0,1,0.1417908166213858,"[(14, 27)]",43145136.0,7.634931842289293,2.8667664568700997,-0.8483518959257119
4934.a1,4934,19736.0,1,0.9321206505984112,"[(1, 0)]",19736.0,4.29525913648168,2.291544333318532,-0.030527870327025582
4934.b1,4934,323354624.0,1,0.1432254577825155,"[(-10, 21)]",323354624.0,8.509679075777417,2.9752366756976345,-0.8439797806647908
4935.a1,4935,-1619296875.0,2,0.0564095470168694,"[(20, 52), (125/2, 371/2)]",1619296875.0,9.209326477755688,3.054249163390017,-1.248647386986787
4935.b1,4935,-222075.0,1,0.1632172652501845,"[(2, 7)]",222075.0,5.346499670780999,2.5104745248859826,-0.7872339028755903
4935.i1,4935,-248827635.0,1,1.8950000693929057,"[(93/2, 1025/2)]",248827635.0,8.395898611796602,2.961775771358847,0.2776092302304156
4935.j1,4935,-38255888671875.0,1,2.6721552413596825,"[(1169/4, 9343/4)]",38255888671875.0,13.582698294936987,3.4428292438808596,0.42686168529708396
4938.a1,4938,59256.0,1,0.5154334913797542,"[(-3, 3)]",59256.0,4.772732331643538,2.39695140201001,-0.28782736558277605
4938.b1,4938,1199934.0,1,0.4303755051360469,"[(-6, 4)]",1199934.0,6.079157359194226,2.638898539383448,-0.3661524544502711
4938.c1,4938,44234366976.0,1,0.0577320716544218,"[(-22, 119)]",44234366976.0,10.645759816601325,3.1991941188386406,-1.2385828572706579
4940.a1,4940,-64378574000.0,1,0.1666578576463445,"[(46, 361)]",64378574000.0,10.808741352734963,3.214387636515618,-0.7781742049831893
4940.c1,4940,-98800.0,1,0.6680565832763289,"[(1, 5)]",98800.0,4.994756944587628,2.4424211964223326,-0.17518675188464305
4940.d1,4940,-19760.0,1,1.0608145891139003,"[(2, 2)]",19760.0,4.29578694025161,2.2916672063111525,0.02563948388453171
4940.e1,4940,-44091043750000.0,1,1.0867807158932383,"[(49, 625)]",44091043750000.0,13.644350379831089,3.447357989614694,0.03614192362510579
4940.g1,4940,-9.314232992187501e+17,1,3.3246714519085216,"[(676, 14750)]",9.314232992187501e+17,17.96914709745282,3.7226886823378975,0.5217487342617592
4941.a1,4941,44469.0,2,0.2441312228080636,"[(0, 1), (3, 1)]",44469.0,4.648057363328742,2.3704818062293147,-0.6123766733909759
4941.b1,4941,13403001069.0,1,0.8139267610390616,"[(25, 30)]",13403001069.0,10.127202052228926,3.1492575212336615,-0.08941467209380215
4941.d1,4941,32417901.0,1,4.498836284276173,"[(73/2, 535/2)]",32417901.0,7.510784891646717,2.85037241843198,0.6531001891900798
4942.b1,4942,-2214016.0,2,0.1233541076139766,"[(6, 4), (4, 2)]",2214016.0,6.345180755064205,2.681728033804314,-0.9088463838490738
4944.a1,4944,-1889626226688.0,1,4.405354593848308,"[(130, 1306)]",1889626226688.0,12.276375908014376,3.3417092029128326,0.6439808712037128
4944.d1,4944,-79104.0,1,1.367173002615635,"[(1, 4)]",79104.0,4.898198444736685,2.42289991841998,0.13582347387345525
4944.h1,4944,-40501248.0,1,2.1417899127404536,"[(12, 42)]",40501248.0,7.607468405712515,2.8631628949836303,0.3307768688446731
4944.j1,4944,-711936.0,1,2.6227257340002827,"[(19, 24)]",711936.0,5.852440954176009,2.6008912765882792,0.41875287755392443
