sample,AF,AG,PF,PG,SH,tray_num,block_num,desert,fire_name,fire_year,TSF,TSF2,burn,plot_num,fullplot_name,line,location,overstory,unique_ID,date_coll,total_seed_count,fg_richness
166,1,0,0,9,1,21,1,GB,OW,CON,,,control,16,GB-OW-CON-1,3,20,S,GB-OW-CON-1-3-20-S,2018-06-26,11,3
168,2,0,0,6,0,21,1,GB,OW,1,15.0,,burned,13,GB-OW-01-1,2,10,S,GB-OW-01-1-2-10-S,2018-06-26,8,2
169,4,3,0,0,0,22,1,GB,RAD,CON,,,control,22,GB-RAD-CON-1,2,20,S,GB-RAD-CON-1-2-20-S,2018-06-23,7,2
171,9,0,0,0,0,22,1,CH,JCB,CON,,,control,6,CH-JCB-CON-3,1,10,S,CH-JCB-CON-3-1-10-S,2018-10-21,9,1
172,1,0,0,3,0,22,1,GB,OW,1,15.0,,burned,14,GB-OW-01-2,3,20,I,GB-OW-01-2-3-20-I,2018-06-26,4,2
173,0,1,2,13,0,22,1,CP,,89,30.0,,burned,28,MV-89-1,3,10,S,MV-89-1-3-3-10-S,2018-06-07,16,3
174,0,1,0,0,2,22,1,SO,GST,5,15.0,,burned,42,SO-GST-05-3,3,20,I,SO-GST-05-3-3-20-I,2018-09-26,3,2
175,7,0,0,0,0,22,1,CH,JCB,1,15.0,,burned,3,CH-JCB-01-3,2,10,S,CH-JCB-01-3-2-10-S,2018-10-20,7,1
176,7,1,1,0,0,22,1,GB,RAD,CON,,,control,24,GB-RAD-CON-3,3,20,S,GB-RAD-CON-3-3-20-S,2018-06-24,9,3
177,5,1,0,0,0,23,1,CH,KNT,CON,,,control,10,CH-KNT-CON-1,3,10,I,CH-KNT-CON-1-3-10-I,2018-10-24,6,2
178,7,0,0,0,0,23,1,CH,KNT,89,30.0,,burned,9,CH-KNT-89-3,2,20,I,CH-KNT-89-3-2-20-I,2018-10-22,7,1
179,3,0,0,0,0,23,1,SO,GST,CON,,,control,45,SO-GST-CON-3,3,20,I,SO-GST-CON-3-3-20-I,2018-09-26,3,1
181,1,0,0,0,0,23,1,GB,RAD,84,30.0,,burned,19,GB-RAD-84-1,3,20,I,GB-RAD-84-1-3-20-I,2018-06-23,1,1
182,0,7,1,1,0,23,1,GB,RAD,84,30.0,,burned,20,GB-RAD-84-2,3,10,S,GB-RAD-84-2-3-10-S,2018-06-23,9,3
183,5,0,0,0,0,23,1,CH,KNT,89,30.0,,burned,9,CH-KNT-89-3,3,20,S,CH-KNT-89-3-3-20-S,2018-10-22,5,1
184,3,0,0,0,0,23,1,CH,JCB,1,15.0,,burned,1,CH-JCB-01-1,3,20,I,CH-JCB-01-1-3-20-I,2018-10-20,3,1
185,3,1,4,1,0,24,1,GB,RAD,84,30.0,,burned,21,GB-RAD-84-3,3,20,S,GB-RAD-84-3-3-20-S,2018-06-27,9,4
186,1,0,0,0,0,24,1,CP,,0,15.0,,burned,25,MV-00-1,3,20,I,MV-00-1-3-3-20-I,2018-06-08,1,1
187,1,0,0,0,0,24,1,SO,GAT,CON,,,control,39,SO-GAT-CON-3,1,10,I,SO-GAT-CON-3-1-10-I,2018-09-24,1,1
188,0,0,6,3,0,24,1,CP,,89,30.0,,burned,28,MV-89-1,3,20,S,MV-89-1-3-3-20-S,2018-06-07,9,2
189,1,0,0,0,0,24,1,GB,OW,1,15.0,,burned,15,GB-OW-01-3,3,10,I,GB-OW-01-3-3-10-I,2018-06-26,1,1
190,0,2,0,0,0,24,1,SO,GST,5,15.0,,burned,42,SO-GST-05-3,3,10,I,SO-GST-05-3-3-10-I,2018-09-26,2,1
191,3,0,0,0,0,24,1,SO,GAT,80,30.0,,burned,36,SO-GAT-80-3,1,20,I,SO-GAT-80-3-1-20-I,2018-09-23,3,1
192,2,0,0,7,0,24,1,GB,OW,CON,,,control,18,GB-OW-CON-3,2,10,S,GB-OW-CON-3-2-10-S,2018-06-25,9,2
193,18,1,0,0,1,25,2,SO,GAT,80,30.0,,burned,34,SO-GAT-80-1,3,10,S,SO-GAT-80-1-3-10-S,2018-09-23,20,3
